Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
50,0.02783145901048556,55.0,57.0,1,2048,0
0,0.00026239105500280857,48.0,0.0,2,2048,0
1,0.0027167980442754924,48.0,1.0,2,2048,0
2,0.004265394003596157,49.0,3.0,2,2048,0
3,0.005871559027582407,49.0,4.0,2,2048,0
4,0.0060118710389360785,50.0,6.0,2,2048,0
5,0.010087611037306488,50.0,7.0,2,2048,0
6,0.010214793030172586,50.0,8.0,2,2048,0
7,0.01031074405182153,50.0,9.0,2,2048,0
8,0.010404171014670283,50.0,10.0,2,2048,0
9,0.012456106022000313,50.0,11.0,2,2048,0
10,0.012725475011393428,50.0,12.0,2,2048,0
11,0.01288591104093939,50.0,13.0,2,2048,0
12,0.013019472011364996,50.0,14.0,2,2048,0
13,0.013191438047215343,50.0,15.0,2,2048,0
14,0.013330958026926965,50.0,16.0,2,2048,0
15,0.014927003008779138,50.0,17.0,2,2048,0
16,0.015068339998833835,50.0,18.0,2,2048,0
17,0.018131351040210575,50.0,19.0,2,2048,0
18,0.018271624052431434,51.0,21.0,2,2048,0
19,0.018354935047682375,51.0,22.0,2,2048,0
20,0.01843577402178198,51.0,23.0,2,2048,0
21,0.018513999006245285,51.0,24.0,2,2048,0
22,0.018594362016301602,51.0,25.0,2,2048,0
23,0.01867365400539711,51.0,26.0,2,2048,0
24,0.0187515530269593,51.0,27.0,2,2048,0
25,0.018830832035746425,51.0,28.0,2,2048,0
26,0.018910214013885707,51.0,29.0,2,2048,0
27,0.018989186035469174,51.0,30.0,2,2048,0
28,0.019068243040237576,51.0,31.0,2,2048,0
29,0.01914831600151956,51.0,32.0,2,2048,0
30,0.019236468011513352,51.0,33.0,2,2048,0
31,0.01932808302808553,51.0,34.0,2,2048,0
32,0.01942028000485152,51.0,35.0,2,2048,0
33,0.021466233010869473,51.0,36.0,2,2048,0
34,0.021671930036973208,51.0,37.0,2,2048,0
35,0.02189998101675883,51.0,38.0,2,2048,0
36,0.02382723503978923,52.0,40.0,2,2048,0
37,0.024065181030891836,52.0,41.0,2,2048,0
38,0.02426280902000144,52.0,42.0,2,2048,0
39,0.02444669301621616,52.0,43.0,2,2048,0
40,0.025222534022759646,52.0,44.0,2,2048,0
41,0.025678054022137076,52.0,45.0,2,2048,0
42,0.025956842000596225,52.0,46.0,2,2048,0
43,0.02664283604826778,52.0,47.0,2,2048,0
44,0.026945774035993963,52.0,48.0,2,2048,0
45,0.0271727490471676,53.0,50.0,2,2048,0
46,0.027375804027542472,54.0,52.0,2,2048,0
47,0.027490684005897492,54.0,53.0,2,2048,0
48,0.027595744002610445,54.0,54.0,2,2048,0
49,0.0276967910467647,54.0,55.0,2,2048,0
50,0.02783145901048556,55.0,57.0,2,2048,0
0,0.00026239105500280857,48.0,0.0,4,2048,0
1,0.0027167980442754924,48.0,1.0,4,2048,0
2,0.004265394003596157,49.0,3.0,4,2048,0
3,0.005871559027582407,49.0,4.0,4,2048,0
4,0.0060118710389360785,50.0,6.0,4,2048,0
5,0.010087611037306488,50.0,7.0,4,2048,0
6,0.010214793030172586,50.0,8.0,4,2048,0
7,0.01031074405182153,50.0,9.0,4,2048,0
8,0.010404171014670283,50.0,10.0,4,2048,0
9,0.012456106022000313,50.0,11.0,4,2048,0
10,0.012725475011393428,50.0,12.0,4,2048,0
11,0.01288591104093939,50.0,13.0,4,2048,0
12,0.013019472011364996,50.0,14.0,4,2048,0
13,0.013191438047215343,50.0,15.0,4,2048,0
14,0.013330958026926965,50.0,16.0,4,2048,0
15,0.014927003008779138,50.0,17.0,4,2048,0
16,0.015068339998833835,50.0,18.0,4,2048,0
17,0.018131351040210575,50.0,19.0,4,2048,0
18,0.018271624052431434,51.0,21.0,4,2048,0
19,0.018354935047682375,51.0,22.0,4,2048,0
20,0.01843577402178198,51.0,23.0,4,2048,0
21,0.018513999006245285,51.0,24.0,4,2048,0
22,0.018594362016301602,51.0,25.0,4,2048,0
23,0.01867365400539711,51.0,26.0,4,2048,0
24,0.0187515530269593,51.0,27.0,4,2048,0
25,0.018830832035746425,51.0,28.0,4,2048,0
26,0.018910214013885707,51.0,29.0,4,2048,0
27,0.018989186035469174,51.0,30.0,4,2048,0
28,0.019068243040237576,51.0,31.0,4,2048,0
29,0.01914831600151956,51.0,32.0,4,2048,0
30,0.019236468011513352,51.0,33.0,4,2048,0
31,0.01932808302808553,51.0,34.0,4,2048,0
32,0.01942028000485152,51.0,35.0,4,2048,0
33,0.021466233010869473,51.0,36.0,4,2048,0
34,0.021671930036973208,51.0,37.0,4,2048,0
35,0.02189998101675883,51.0,38.0,4,2048,0
36,0.02382723503978923,52.0,40.0,4,2048,0
37,0.024065181030891836,52.0,41.0,4,2048,0
38,0.02426280902000144,52.0,42.0,4,2048,0
39,0.02444669301621616,52.0,43.0,4,2048,0
40,0.025222534022759646,52.0,44.0,4,2048,0
41,0.025678054022137076,52.0,45.0,4,2048,0
42,0.025956842000596225,52.0,46.0,4,2048,0
43,0.02664283604826778,52.0,47.0,4,2048,0
44,0.026945774035993963,52.0,48.0,4,2048,0
45,0.0271727490471676,53.0,50.0,4,2048,0
46,0.027375804027542472,54.0,52.0,4,2048,0
47,0.027490684005897492,54.0,53.0,4,2048,0
48,0.027595744002610445,54.0,54.0,4,2048,0
49,0.0276967910467647,54.0,55.0,4,2048,0
50,0.02783145901048556,55.0,57.0,4,2048,0
0,0.00026239105500280857,48.0,0.0,8,2048,0
1,0.0027167980442754924,48.0,1.0,8,2048,0
2,0.004265394003596157,49.0,3.0,8,2048,0
3,0.005871559027582407,49.0,4.0,8,2048,0
4,0.0060118710389360785,50.0,6.0,8,2048,0
5,0.010087611037306488,50.0,7.0,8,2048,0
6,0.010214793030172586,50.0,8.0,8,2048,0
7,0.01031074405182153,50.0,9.0,8,2048,0
8,0.010404171014670283,50.0,10.0,8,2048,0
9,0.012456106022000313,50.0,11.0,8,2048,0
10,0.012725475011393428,50.0,12.0,8,2048,0
11,0.01288591104093939,50.0,13.0,8,2048,0
12,0.013019472011364996,50.0,14.0,8,2048,0
13,0.013191438047215343,50.0,15.0,8,2048,0
14,0.013330958026926965,50.0,16.0,8,2048,0
15,0.014927003008779138,50.0,17.0,8,2048,0
16,0.015068339998833835,50.0,18.0,8,2048,0
17,0.018131351040210575,50.0,19.0,8,2048,0
18,0.018271624052431434,51.0,21.0,8,2048,0
19,0.018354935047682375,51.0,22.0,8,2048,0
20,0.01843577402178198,51.0,23.0,8,2048,0
21,0.018513999006245285,51.0,24.0,8,2048,0
22,0.018594362016301602,51.0,25.0,8,2048,0
23,0.01867365400539711,51.0,26.0,8,2048,0
24,0.0187515530269593,51.0,27.0,8,2048,0
25,0.018830832035746425,51.0,28.0,8,2048,0
26,0.018910214013885707,51.0,29.0,8,2048,0
27,0.018989186035469174,51.0,30.0,8,2048,0
28,0.019068243040237576,51.0,31.0,8,2048,0
29,0.01914831600151956,51.0,32.0,8,2048,0
30,0.019236468011513352,51.0,33.0,8,2048,0
31,0.01932808302808553,51.0,34.0,8,2048,0
32,0.01942028000485152,51.0,35.0,8,2048,0
33,0.021466233010869473,51.0,36.0,8,2048,0
34,0.021671930036973208,51.0,37.0,8,2048,0
35,0.02189998101675883,51.0,38.0,8,2048,0
36,0.02382723503978923,52.0,40.0,8,2048,0
37,0.024065181030891836,52.0,41.0,8,2048,0
38,0.02426280902000144,52.0,42.0,8,2048,0
39,0.02444669301621616,52.0,43.0,8,2048,0
40,0.025222534022759646,52.0,44.0,8,2048,0
41,0.025678054022137076,52.0,45.0,8,2048,0
42,0.025956842000596225,52.0,46.0,8,2048,0
43,0.02664283604826778,52.0,47.0,8,2048,0
44,0.026945774035993963,52.0,48.0,8,2048,0
45,0.0271727490471676,53.0,50.0,8,2048,0
46,0.027375804027542472,54.0,52.0,8,2048,0
47,0.027490684005897492,54.0,53.0,8,2048,0
48,0.027595744002610445,54.0,54.0,8,2048,0
49,0.0276967910467647,54.0,55.0,8,2048,0
50,0.02783145901048556,55.0,57.0,8,2048,0
0,0.00026239105500280857,48.0,0.0,16,2048,0
1,0.0027167980442754924,48.0,1.0,16,2048,0
2,0.004265394003596157,49.0,3.0,16,2048,0
3,0.005871559027582407,49.0,4.0,16,2048,0
4,0.0060118710389360785,50.0,6.0,16,2048,0
5,0.010087611037306488,50.0,7.0,16,2048,0
6,0.010214793030172586,50.0,8.0,16,2048,0
7,0.01031074405182153,50.0,9.0,16,2048,0
8,0.010404171014670283,50.0,10.0,16,2048,0
9,0.012456106022000313,50.0,11.0,16,2048,0
10,0.012725475011393428,50.0,12.0,16,2048,0
11,0.01288591104093939,50.0,13.0,16,2048,0
12,0.013019472011364996,50.0,14.0,16,2048,0
13,0.013191438047215343,50.0,15.0,16,2048,0
14,0.013330958026926965,50.0,16.0,16,2048,0
15,0.014927003008779138,50.0,17.0,16,2048,0
16,0.015068339998833835,50.0,18.0,16,2048,0
17,0.018131351040210575,50.0,19.0,16,2048,0
18,0.018271624052431434,51.0,21.0,16,2048,0
19,0.018354935047682375,51.0,22.0,16,2048,0
20,0.01843577402178198,51.0,23.0,16,2048,0
21,0.018513999006245285,51.0,24.0,16,2048,0
22,0.018594362016301602,51.0,25.0,16,2048,0
23,0.01867365400539711,51.0,26.0,16,2048,0
24,0.0187515530269593,51.0,27.0,16,2048,0
25,0.018830832035746425,51.0,28.0,16,2048,0
26,0.018910214013885707,51.0,29.0,16,2048,0
27,0.018989186035469174,51.0,30.0,16,2048,0
28,0.019068243040237576,51.0,31.0,16,2048,0
29,0.01914831600151956,51.0,32.0,16,2048,0
30,0.019236468011513352,51.0,33.0,16,2048,0
31,0.01932808302808553,51.0,34.0,16,2048,0
32,0.01942028000485152,51.0,35.0,16,2048,0
33,0.021466233010869473,51.0,36.0,16,2048,0
34,0.021671930036973208,51.0,37.0,16,2048,0
35,0.02189998101675883,51.0,38.0,16,2048,0
36,0.02382723503978923,52.0,40.0,16,2048,0
37,0.024065181030891836,52.0,41.0,16,2048,0
38,0.02426280902000144,52.0,42.0,16,2048,0
39,0.02444669301621616,52.0,43.0,16,2048,0
40,0.025222534022759646,52.0,44.0,16,2048,0
41,0.025678054022137076,52.0,45.0,16,2048,0
42,0.025956842000596225,52.0,46.0,16,2048,0
43,0.02664283604826778,52.0,47.0,16,2048,0
44,0.026945774035993963,52.0,48.0,16,2048,0
45,0.0271727490471676,53.0,50.0,16,2048,0
46,0.027375804027542472,54.0,52.0,16,2048,0
47,0.027490684005897492,54.0,53.0,16,2048,0
48,0.027595744002610445,54.0,54.0,16,2048,0
49,0.0276967910467647,54.0,55.0,16,2048,0
50,0.02783145901048556,55.0,57.0,16,2048,0
0,0.00026239105500280857,48.0,0.0,32,2048,0
1,0.0027167980442754924,48.0,1.0,32,2048,0
2,0.004265394003596157,49.0,3.0,32,2048,0
3,0.005871559027582407,49.0,4.0,32,2048,0
4,0.0060118710389360785,50.0,6.0,32,2048,0
5,0.010087611037306488,50.0,7.0,32,2048,0
6,0.010214793030172586,50.0,8.0,32,2048,0
7,0.01031074405182153,50.0,9.0,32,2048,0
8,0.010404171014670283,50.0,10.0,32,2048,0
9,0.012456106022000313,50.0,11.0,32,2048,0
10,0.012725475011393428,50.0,12.0,32,2048,0
11,0.01288591104093939,50.0,13.0,32,2048,0
12,0.013019472011364996,50.0,14.0,32,2048,0
13,0.013191438047215343,50.0,15.0,32,2048,0
14,0.013330958026926965,50.0,16.0,32,2048,0
15,0.014927003008779138,50.0,17.0,32,2048,0
16,0.015068339998833835,50.0,18.0,32,2048,0
17,0.018131351040210575,50.0,19.0,32,2048,0
18,0.018271624052431434,51.0,21.0,32,2048,0
19,0.018354935047682375,51.0,22.0,32,2048,0
20,0.01843577402178198,51.0,23.0,32,2048,0
21,0.018513999006245285,51.0,24.0,32,2048,0
22,0.018594362016301602,51.0,25.0,32,2048,0
23,0.01867365400539711,51.0,26.0,32,2048,0
24,0.0187515530269593,51.0,27.0,32,2048,0
25,0.018830832035746425,51.0,28.0,32,2048,0
26,0.018910214013885707,51.0,29.0,32,2048,0
27,0.018989186035469174,51.0,30.0,32,2048,0
28,0.019068243040237576,51.0,31.0,32,2048,0
29,0.01914831600151956,51.0,32.0,32,2048,0
30,0.019236468011513352,51.0,33.0,32,2048,0
31,0.01932808302808553,51.0,34.0,32,2048,0
32,0.01942028000485152,51.0,35.0,32,2048,0
33,0.021466233010869473,51.0,36.0,32,2048,0
34,0.021671930036973208,51.0,37.0,32,2048,0
35,0.02189998101675883,51.0,38.0,32,2048,0
36,0.02382723503978923,52.0,40.0,32,2048,0
37,0.024065181030891836,52.0,41.0,32,2048,0
38,0.02426280902000144,52.0,42.0,32,2048,0
39,0.02444669301621616,52.0,43.0,32,2048,0
40,0.025222534022759646,52.0,44.0,32,2048,0
41,0.025678054022137076,52.0,45.0,32,2048,0
42,0.025956842000596225,52.0,46.0,32,2048,0
43,0.02664283604826778,52.0,47.0,32,2048,0
44,0.026945774035993963,52.0,48.0,32,2048,0
45,0.0271727490471676,53.0,50.0,32,2048,0
46,0.027375804027542472,54.0,52.0,32,2048,0
47,0.027490684005897492,54.0,53.0,32,2048,0
48,0.027595744002610445,54.0,54.0,32,2048,0
49,0.0276967910467647,54.0,55.0,32,2048,0
50,0.02783145901048556,55.0,57.0,32,2048,0
0,0.00026239105500280857,48.0,0.0,64,2048,0
1,0.0027167980442754924,48.0,1.0,64,2048,0
2,0.004265394003596157,49.0,3.0,64,2048,0
3,0.005871559027582407,49.0,4.0,64,2048,0
4,0.0060118710389360785,50.0,6.0,64,2048,0
5,0.010087611037306488,50.0,7.0,64,2048,0
6,0.010214793030172586,50.0,8.0,64,2048,0
7,0.01031074405182153,50.0,9.0,64,2048,0
8,0.010404171014670283,50.0,10.0,64,2048,0
9,0.012456106022000313,50.0,11.0,64,2048,0
10,0.012725475011393428,50.0,12.0,64,2048,0
11,0.01288591104093939,50.0,13.0,64,2048,0
12,0.013019472011364996,50.0,14.0,64,2048,0
13,0.013191438047215343,50.0,15.0,64,2048,0
14,0.013330958026926965,50.0,16.0,64,2048,0
15,0.014927003008779138,50.0,17.0,64,2048,0
16,0.015068339998833835,50.0,18.0,64,2048,0
17,0.018131351040210575,50.0,19.0,64,2048,0
18,0.018271624052431434,51.0,21.0,64,2048,0
19,0.018354935047682375,51.0,22.0,64,2048,0
20,0.01843577402178198,51.0,23.0,64,2048,0
21,0.018513999006245285,51.0,24.0,64,2048,0
22,0.018594362016301602,51.0,25.0,64,2048,0
23,0.01867365400539711,51.0,26.0,64,2048,0
24,0.0187515530269593,51.0,27.0,64,2048,0
25,0.018830832035746425,51.0,28.0,64,2048,0
26,0.018910214013885707,51.0,29.0,64,2048,0
27,0.018989186035469174,51.0,30.0,64,2048,0
28,0.019068243040237576,51.0,31.0,64,2048,0
29,0.01914831600151956,51.0,32.0,64,2048,0
30,0.019236468011513352,51.0,33.0,64,2048,0
31,0.01932808302808553,51.0,34.0,64,2048,0
32,0.01942028000485152,51.0,35.0,64,2048,0
33,0.021466233010869473,51.0,36.0,64,2048,0
34,0.021671930036973208,51.0,37.0,64,2048,0
35,0.02189998101675883,51.0,38.0,64,2048,0
36,0.02382723503978923,52.0,40.0,64,2048,0
37,0.024065181030891836,52.0,41.0,64,2048,0
38,0.02426280902000144,52.0,42.0,64,2048,0
39,0.02444669301621616,52.0,43.0,64,2048,0
40,0.025222534022759646,52.0,44.0,64,2048,0
41,0.025678054022137076,52.0,45.0,64,2048,0
42,0.025956842000596225,52.0,46.0,64,2048,0
43,0.02664283604826778,52.0,47.0,64,2048,0
44,0.026945774035993963,52.0,48.0,64,2048,0
45,0.0271727490471676,53.0,50.0,64,2048,0
46,0.027375804027542472,54.0,52.0,64,2048,0
47,0.027490684005897492,54.0,53.0,64,2048,0
48,0.027595744002610445,54.0,54.0,64,2048,0
49,0.0276967910467647,54.0,55.0,64,2048,0
50,0.02783145901048556,55.0,57.0,64,2048,0
